species,species_prot_acc,Distance,MostRelatedSpecies,ProteinAcc,Description
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1601.89.1,1.90377317,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0029504,CHES-1-like
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1601.89,1.9023808670000002,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0029504,CHES-1-like
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1301.123,1.678461,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0015396,jumu
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1202.382.1,1.590392607,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0031086,fd19B
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1202.382,1.73864074,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0031086,fd19B
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1505.58,1.94770974,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0031086,fd19B
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1904.174,0.935967,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0004567,slp2
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1904.173,1.1180750000000002,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0004567,slp2
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0403.28,1.1769539999999998,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0039937,fd102C
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1703.41,1.5024760000000001,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0264954,fd3F
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato2101.208,1.6981899,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0004898,fd96Cb
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato2101.387,1.74361933,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0004898,fd96Cb
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1408.70,1.1829640000000001,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0004896,fd59A
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0801.104,1.391535,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0000659,fkh
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1003.247,0.8628600000000001,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0004897,fd96Ca
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1003.246,0.87655400000000006,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0004897,fd96Ca
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato2101.206,1.120417,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0014143,croc
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.120,1.325098,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0000015,Abd-B
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.151,1.315871,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0003267,ro
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0701.36,1.542726,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0041156,exex
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0301.13,1.725415,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0002522,lab
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1805.183,1.8254666299999998,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0014949,btn
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.137,2.0994345,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0014949,btn
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.133,2.11391215,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0014949,btn
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.132,1.262706,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0000439,Dfd
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.131,1.053482,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0003339,Scr
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.131.1,1.053482,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0003339,Scr
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.130,1.8543903899999998,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0260642,Antp
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.123,0.991358,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0003944,Ubx
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.122,0.9722148,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0000014,abd-A
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.122.1,0.946828776,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0000014,abd-A
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.128,1.073583,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0260642,Antp
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1603.103,0.8615550000000001,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0011277,HLH4C
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1001.34,1.70178,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0011276,HLH3B
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1202.618,1.1025642468,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0053557,CG33557
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1202.618.1,1.1400468000000001,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0053557,CG33557
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0609.27.1,1.1298732468,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0032209,Hand
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0609.27.2,1.2242861,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0032209,Hand
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0609.27,1.2249493,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0032209,Hand
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0503.235,1.7626865999999999,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0003900,twi
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato2101.168,0.940689,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0038402,Fer2
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato2101.226,0.989796,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0037475,Fer1
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1605.160,1.775857,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0263118,tx
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1301.519,1.6916760000000002,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0015550,tap
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1507.81_evm.model.Herato1507.82.1,1.640819,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0023091,dimm
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1507.81_evm.model.Herato1507.82,1.640819,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0023091,dimm
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato0310.293,1.373071,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0010433,ato
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1605.18,0.683774,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0052532,CG32532
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1910.36,1.7499228599999999,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0030058,CG11294
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1001.9,1.244685,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0020617,Rx
Heliconius,erato_demophoon_v1_CREPE_FL_evm.model.Herato1108.312_novel_model_147,1.885035,Drosophila_melanogaster_BDGP6_32_pep_all,FBgn0011701,repo
